"PO_BLANKET_ID","PO_RELEASE_ID","LINE_ID","SHIPMENT_ID","CATEGORY_ID","CANCEL_FLAG","UOM","AMOUNT","QTY","GEOGRAPHY_ID","CONTRACT_ID","CONTRACT_LINE_ID","ORIGINAL_DUE_DATE","LATEST_DUE_DATE","SHIPMENT_LINE"
32984,58862,117586,117586,91,"N","Each",34592.25,35,207,32984,38531,31/JAN/05,31/JAN/05,3
32839,58673,117117,117117,30,"N","Each",75383.28,504,207,32839,38306,02/FEB/05,02/FEB/05,1
32839,58673,117118,117118,30,"N","Each",14452.71,89,207,32839,38308,02/FEB/05,02/FEB/05,2
32840,58674,117119,117119,114,"N","Each",2678.4,465,207,32840,38309,26/JAN/05,26/JAN/05,1
32840,58674,117120,117120,114,"N","Each",28.8,5,207,32840,38309,28/JAN/05,28/JAN/05,2
32840,58674,117121,117121,114,"N","Each",1816.45,85,207,32840,38310,02/FEB/05,02/FEB/05,3
32840,58674,117122,117122,114,"N","Each",1816.45,85,207,32840,38311,02/FEB/05,02/FEB/05,4
32840,58674,117123,117123,32,"N","Each",1521.01,89,207,32840,38314,02/FEB/05,02/FEB/05,5
32840,58674,117124,117124,114,"N","Each",2281.96,89,207,32840,38315,02/FEB/05,02/FEB/05,6
32841,58675,117125,117125,114,"N","Each",83437.2,504,207,32841,38318,02/FEB/05,02/FEB/05,1
32841,58675,117126,117126,32,"N","Each",8613.36,504,207,32841,38319,02/FEB/05,02/FEB/05,2
32843,58677,117135,117135,114,"N","Each",17919.26,89,207,32843,38332,02/FEB/05,02/FEB/05,1
32843,58677,117136,117136,114,"N","Each",1901.93,89,207,32843,38333,02/FEB/05,02/FEB/05,2
32843,58677,117137,117137,111,"N","Each",2661.99,89,207,32843,38334,02/FEB/05,02/FEB/05,3
32843,58677,117138,117138,114,"N","Each",10770.48,504,207,32843,38337,02/FEB/05,02/FEB/05,4
32843,58677,117139,117139,111,"N","Each",8613.36,504,207,32843,38338,02/FEB/05,02/FEB/05,5
32844,58678,117140,117140,114,"N","Each",182.75,425,207,32844,38340,26/JAN/05,26/JAN/05,1
32844,58678,117141,117141,114,"N","Each",2.15,5,207,32844,38340,28/JAN/05,28/JAN/05,2
32844,58678,117142,117142,114,"N","Each",97.75,85,207,32844,38341,02/FEB/05,02/FEB/05,3
32844,58678,117143,117143,114,"N","Each",97.75,85,207,32844,38342,02/FEB/05,02/FEB/05,4
32844,58678,117144,117144,32,"N","Each",14148.33,89,207,32844,38346,02/FEB/05,02/FEB/05,5
32844,58678,117145,117145,114,"N","Each",152.19,89,207,32844,38347,02/FEB/05,02/FEB/05,6
32844,58678,117146,117146,34,"N","Each",3422.94,89,207,32844,38348,02/FEB/05,02/FEB/05,7
32845,58679,117147,117147,114,"N","Each",861.84,504,207,32845,38351,02/FEB/05,02/FEB/05,1
32845,58679,117148,117148,34,"N","Each",12922.56,504,207,32845,38352,02/FEB/05,02/FEB/05,2
32984,58680,117149,117149,91,"N","Each",17055.5,55,207,32984,38530,26/JAN/05,26/JAN/05,1
32984,58680,117150,117150,91,"N","Each",21743.7,22,207,32984,38531,26/JAN/05,26/JAN/05,2
32984,58866,117596,117596,91,"N","Each",287.7,137,209,32984,38529,07/FEB/05,07/FEB/05,1
32984,58866,117597,117597,91,"N","Each",22947.4,74,209,32984,38530,31/JAN/05,31/JAN/05,2
32984,58866,117598,117598,91,"N","Each",29650.5,30,209,32984,38531,31/JAN/05,31/JAN/05,3
32839,58854,117548,117548,30,"N","Each",649.56,4,207,32839,38308,04/FEB/05,04/FEB/05,1
32840,58855,117552,117552,114,"N","Each",115.2,20,207,32840,38309,04/FEB/05,04/FEB/05,1
32840,58855,117553,117553,114,"N","Each",1816.45,85,207,32840,38310,07/FEB/05,07/FEB/05,2
32840,58855,117555,117555,114,"N","Each",1816.45,85,207,32840,38311,07/FEB/05,07/FEB/05,3
